type,latitude,longitude,altitude (m),name,desc,kml_folder
T,42.329596455,-83.049718381,185.2,,,
T,42.329610780,-83.049729623,185.2,,,
T,42.329625487,-83.049741827,185.2,,,
T,42.329635886,-83.049750597,185.2,,,
T,42.329648793,-83.049760763,185.2,,,
T,42.329664865,-83.049773530,185.2,,,
T,42.329677821,-83.049783737,185.2,,,
T,42.329688833,-83.049792409,185.2,,,
T,42.329705109,-83.049805209,185.2,,,
T,42.329716908,-83.049814474,185.2,,,
T,42.329731964,-83.049826314,185.2,,,
T,42.329749838,-83.049841098,185.2,,,
T,42.329761259,-83.049849976,185.2,,,
T,42.329772302,-83.049860446,185.2,,,
T,42.329790490,-83.049876575,185.2,,,
T,42.329810980,-83.049892648,185.2,,,
T,42.329833649,-83.049911027,185.2,,,
T,42.329844090,-83.049918857,185.2,,,
T,42.329856223,-83.049928279,185.2,,,
T,42.329870492,-83.049940697,185.2,,,
T,42.329885086,-83.049954165,185.2,,,
T,42.329899328,-83.049966035,185.2,,,
T,42.329916661,-83.049979749,185.2,,,
T,42.329932097,-83.049991903,185.1,,,
T,42.329945623,-83.050002493,185.1,,,
T,42.329959586,-83.050014107,185.1,,,
T,42.329973060,-83.050024700,185.1,,,
T,42.329985955,-83.050034797,185.1,,,
T,42.330003112,-83.050048282,185.1,,,
T,42.330017646,-83.050059629,185.0,,,
T,42.330036835,-83.050074836,185.0,,,
T,42.330052692,-83.050088470,185.0,,,
T,42.330069181,-83.050101356,185.0,,,
T,42.330088963,-83.050116777,185.0,,,
T,42.330107594,-83.050132735,184.9,,,
T,42.330123977,-83.050146280,184.9,,,
T,42.330140124,-83.050158947,184.9,,,
T,42.330156137,-83.050171593,184.9,,,
T,42.330171090,-83.050184166,184.8,,,
T,42.330187402,-83.050197653,184.8,,,
T,42.330201536,-83.050209507,184.8,,,
T,42.330215985,-83.050220853,184.8,,,
T,42.330231901,-83.050234122,184.7,,,
T,42.330247264,-83.050246167,184.7,,,
T,42.330261714,-83.050257460,184.7,,,
T,42.330276384,-83.050268994,184.7,,,
T,42.330295252,-83.050285305,184.7,,,
T,42.330311823,-83.050299071,184.6,,,
T,42.330324886,-83.050310051,184.6,,,
T,42.330340990,-83.050322720,184.6,,,
T,42.330355743,-83.050334308,184.6,,,
T,42.330375117,-83.050349538,184.6,,,
T,42.330389816,-83.050361071,184.5,,,
T,42.330406555,-83.050374253,184.5,,,
T,42.330425215,-83.050388905,184.5,,,
T,42.330444251,-83.050403892,184.5,,,
T,42.330459560,-83.050415928,184.5,,,
T,42.330475860,-83.050427968,184.5,,,
T,42.330497807,-83.050445234,184.5,,,
T,42.330514620,-83.050458437,184.4,,,
T,42.330529493,-83.050470134,184.4,,,
T,42.330546072,-83.050483173,184.4,,,
T,42.330558351,-83.050492816,184.4,,,
T,42.330572789,-83.050504151,184.4,,,
T,42.330587750,-83.050515912,184.4,,,
T,42.330606326,-83.050530515,184.3,,,
T,42.330624859,-83.050544323,184.3,,,
T,42.330642320,-83.050557263,184.3,,,
T,42.330660449,-83.050569912,184.3,,,
T,42.330678846,-83.050583573,184.2,,,
T,42.330698612,-83.050596723,184.2,,,
T,42.330718464,-83.050611422,184.2,,,
T,42.330739526,-83.050625507,184.1,,,
T,42.330758281,-83.050637518,184.1,,,
T,42.330778186,-83.050649243,184.0,,,
T,42.330795710,-83.050659344,184.0,,,
T,42.330816069,-83.050670494,184.0,,,
T,42.330835791,-83.050680466,183.9,,,
T,42.330856019,-83.050690057,183.9,,,
T,42.330877299,-83.050700963,183.8,,,
T,42.330892287,-83.050708695,183.8,,,
T,42.330907572,-83.050716251,183.8,,,
T,42.330923688,-83.050724410,183.8,,,
T,42.330939101,-83.050732142,183.7,,,
T,42.330954494,-83.050739831,183.7,,,
T,42.330969395,-83.050747355,183.7,,,
T,42.330983406,-83.050752893,183.7,,,
T,42.331000727,-83.050760664,183.7,,,
T,42.331019382,-83.050768537,183.6,,,
T,42.331038568,-83.050776704,183.6,,,
T,42.331056671,-83.050782745,183.6,,,
T,42.331077600,-83.050789819,183.6,,,
T,42.331096054,-83.050795804,183.6,,,
T,42.331114678,-83.050801939,183.5,,,
T,42.331133666,-83.050808390,183.5,,,
T,42.331154764,-83.050814437,183.5,,,
T,42.331173464,-83.050819837,183.5,,,
T,42.331192688,-83.050824209,183.5,,,
T,42.331210710,-83.050827135,183.4,,,
T,42.331229071,-83.050829617,183.4,,,
T,42.331249955,-83.050831728,183.4,,,
T,42.331270139,-83.050833285,183.4,,,
T,42.331288376,-83.050833586,183.3,,,
T,42.331309384,-83.050835226,183.3,,,
T,42.331329861,-83.050836435,183.2,,,
T,42.331348420,-83.050836485,183.2,,,
T,42.331368371,-83.050834547,183.1,,,
T,42.331389823,-83.050833547,183.1,,,
T,42.331410515,-83.050832236,183.0,,,
T,42.331430385,-83.050831062,183.0,,,
T,42.331450273,-83.050829646,182.9,,,
T,42.331469116,-83.050829984,182.9,,,
T,42.331490892,-83.050828514,182.8,,,
T,42.331510761,-83.050829706,182.8,,,
