start_x,end_x,start_v,end_v,accel,inc,gravity,step_time
852708.651813646,853203.099999998,29.3604547610447,29.3604547610447,0,0.4583393,9.7925635,16.8406174351285
853203.099999998,853701.858214613,29.3604547610447,29.3604547610447,0,0.3040773,9.7925604,16.9874144891006
853701.858214613,853702.549999998,29.3604547610447,29.3486714927523,-0.5,0.3040773,9.7925604,0.0235665365846245
853702.549999998,854198.416224726,29.3486714927523,29.3486714927523,0,0.1780231,9.7925574,16.89569576768
854198.416224726,854200.499999999,29.3486714927523,29.3131496621619,-0.5,0.1319004,9.7925545,0.0710436611809655
854200.499999999,854202.081025894,29.3131496621619,29.3670358549676,1,0.1319004,9.7925545,0.0538861928057237
854202.081025894,854705.839999998,29.3670358549676,29.3670358549676,0,0.1319004,9.7925545,17.1538924320591
854705.839999998,855205.561678039,29.3670358549676,29.3670358549676,0,-0.2128471,9.7925517,17.0164152932692
855205.561678039,855205.859999998,29.3670358549676,29.3619562179972,-0.5,0.1237186,9.7925495,0.0101592739408218
855205.859999998,855206.62226761,29.3619562179972,29.3879058146553,1,0.1237186,9.7925495,0.0259495966580872
855206.62226761,855702.149999999,29.3879058146553,29.3879058146553,0,0.1237186,9.7925495,16.8616210870404
855702.149999999,856197.570302162,29.3879058146553,29.3879058146553,0,0.3029314,9.7925477,16.8579654939647
856197.570302162,856201.319999998,29.3879058146553,29.324039802429,-0.5,0.3029314,9.7925477,0.127732024452591
856201.319999998,856700.134634183,29.324039802429,29.324039802429,0,0.2591814,9.792546,17.0104336764507
856700.134634183,856700.759999998,29.324039802429,29.3133748401532,-0.5,-0.0558118,9.7925443,0.0213299245515159
856700.759999998,857196.251188034,29.3133748401532,29.3133748401532,0,-0.1278267,9.7925427,16.9032460689796
857196.251188034,857199.849999998,29.3133748401532,29.2519252794554,-0.5,-0.1278267,9.7925427,0.122899121395655
857199.849999998,857695.980545393,29.2519252794554,29.2519252794554,0,-0.2801856,9.7925409,16.9606116744372
857695.980545393,857698.679999998,29.2519252794554,29.2057473444764,-0.5,0.1115433,9.7925392,0.0923558699579772
857698.679999998,857699.483772774,29.2057473444764,29.2332554379495,1,0.4024905,9.7925373,0.0275080934730987
857699.483772774,858191.709999998,29.2332554379495,29.2332554379495,0,0.4024905,9.7925373,16.8378861625295
858191.709999998,858192.986352982,29.2332554379495,29.2768838756575,1,0.1080941,9.7925354,0.0436284377080369
858192.986352982,858687.039999998,29.2768838756575,29.2768838756575,0,0.1080941,9.7925354,16.8752128510072
858687.039999998,858688.922217972,29.2768838756575,29.341103684377,1,0.1080941,9.7925354,0.0642198087195069
858688.922217972,859185.049999998,29.341103684377,29.341103684377,0,0.1080941,9.7925354,16.908967957114
859185.049999998,859679.025739574,29.341103684377,29.341103684377,0,-0.2076562,9.7925337,16.8356223027474
859679.025739574,859682.999999998,29.341103684377,29.273300206725,-0.5,-0.0118774,9.7925322,0.135606955304148
859682.999999998,860185.481454973,29.273300206725,29.273300206725,0,0.3612165,9.792531,17.1651795809162
860185.481454973,860188.789999998,29.273300206725,29.2167342454169,-0.5,0.3612165,9.792531,0.113131922616148
860188.789999998,860685.4001742,29.2167342454169,29.2167342454169,0,0.6690582,9.7925299,16.9974566640622
860685.4001742,860686.949999998,29.2167342454169,29.1901992827945,-0.5,0.4278483,9.7925286,0.0530699252446851
860686.949999998,860687.390973611,29.1901992827945,29.2053022822049,1,-0.2094037,9.7925272,0.0151029994103737
860687.390973611,861185.319999998,29.2053022822049,29.2053022822049,0,-0.2094037,9.7925272,17.0492680259186
861185.319999998,861683.346486473,29.2053022822049,29.2053022822049,0,-0.2094037,9.7925272,17.0526050941787
861683.346486473,861683.509999998,29.2053022822049,29.2025027672211,-0.5,-0.2127325,9.7925255,0.00559902996763384
861683.509999998,862181.193191856,29.2025027672211,29.2025027672211,0,-0.2127325,9.7925255,17.0424841947429
